Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Swelling,Skin Rash,Sweating,Cough,Fever,Bronchitis
Sweating,Body Pain,High Fever,Chest Pain,Abdominal Pain,Dengue
Chills,Diarrhea,Fever,Muscle Weakness,Loss of Appetite,Food Poisoning
Loss of Appetite,Vomiting,Body Pain,Skin Rash,Fever,Allergy
Headache,Runny Nose,High Fever,Skin Rash,Dizziness,Bronchitis
Dizziness,High Fever,Joint Pain,Diarrhea,Sweating,Allergy
Skin Rash,Cough,Abdominal Pain,Shortness of Breath,Sore Throat,Chikungunya
Muscle Weakness,Loss of Appetite,Joint Pain,Vomiting,Fever,Pneumonia
Nausea,Loss of Appetite,Muscle Weakness,Chills,Cough,Food Poisoning
Chest Pain,Swelling,Abdominal Pain,Fever,Joint Pain,Allergy
Nausea,Diarrhea,Muscle Weakness,Abdominal Pain,Joint Pain,Bronchitis
Body Pain,Swelling,Runny Nose,Nausea,Sneezing,Cold
Headache,Fatigue,Sore Throat,Sweating,Muscle Weakness,Asthma
Fever,Body Pain,Vomiting,Abdominal Pain,Joint Pain,Dengue
Vomiting,Headache,Diarrhea,High Fever,Cough,Bronchitis
Cough,Body Pain,Fatigue,Headache,Sore Throat,COVID-19
Runny Nose,Fatigue,Sneezing,Fever,Body Pain,Dengue
Shortness of Breath,Nausea,Fatigue,Body Pain,Diarrhea,Food Poisoning
Joint Pain,Swelling,Fatigue,Sweating,Muscle Weakness,Cold
Dizziness,Skin Rash,Abdominal Pain,Runny Nose,Fever,Malaria
High Fever,Runny Nose,Fever,Headache,Skin Rash,COVID-19
Loss of Appetite,Muscle Weakness,Dizziness,Shortness of Breath,Fatigue,Flu
Nausea,Muscle Weakness,Sore Throat,Sweating,Shortness of Breath,Asthma
Loss of Appetite,Muscle Weakness,High Fever,Chills,Vomiting,Allergy
Vomiting,Fatigue,Skin Rash,Abdominal Pain,Cough,Tuberculosis
Body Pain,Nausea,Joint Pain,Diarrhea,Fever,Bronchitis
Muscle Weakness,Sore Throat,Joint Pain,Fatigue,Vomiting,Asthma
Diarrhea,Joint Pain,Dizziness,Fatigue,Abdominal Pain,Asthma
Body Pain,Sore Throat,Joint Pain,Swelling,Loss of Appetite,COVID-19
Joint Pain,Body Pain,Chest Pain,Nausea,Skin Rash,Cold
Abdominal Pain,Loss of Appetite,Runny Nose,Headache,Cough,Bronchitis
Sweating,Skin Rash,High Fever,Chest Pain,Chills,Dengue
Sore Throat,High Fever,Runny Nose,Diarrhea,Swelling,Cold
Vomiting,Nausea,Headache,Chest Pain,Muscle Weakness,Allergy
Chest Pain,Fatigue,Dizziness,Body Pain,Muscle Weakness,Asthma
Diarrhea,Joint Pain,Body Pain,Swelling,Sweating,Bronchitis
Abdominal Pain,Skin Rash,Loss of Appetite,Fever,Chest Pain,Typhoid
Sore Throat,Swelling,Chest Pain,Joint Pain,Body Pain,Dengue
Body Pain,Dizziness,Nausea,Loss of Appetite,Chills,Malaria
Fatigue,Nausea,Chest Pain,Skin Rash,Loss of Appetite,Cold
Vomiting,Body Pain,Loss of Appetite,Cough,Nausea,Flu
Fever,Sore Throat,Sweating,Body Pain,Sneezing,Pneumonia
Dizziness,Fatigue,Headache,Cough,Shortness of Breath,Asthma
Chest Pain,Nausea,Cough,Abdominal Pain,Runny Nose,Tuberculosis
Skin Rash,Chills,Sweating,Fever,Headache,Malaria
Headache,Fatigue,Runny Nose,Vomiting,Joint Pain,Asthma
Vomiting,Abdominal Pain,Skin Rash,Body Pain,Sore Throat,COVID-19
Nausea,Fatigue,Body Pain,Swelling,Sore Throat,Dengue
Shortness of Breath,Abdominal Pain,Headache,Runny Nose,Chest Pain,Chikungunya
Swelling,Diarrhea,Sore Throat,Fatigue,Headache,Chikungunya
Joint Pain,Sweating,Sore Throat,Cough,Fever,Allergy
Chills,Nausea,Body Pain,Chest Pain,Swelling,Dengue
Abdominal Pain,Body Pain,Loss of Appetite,Sweating,Runny Nose,Cold
Muscle Weakness,Joint Pain,Fever,Abdominal Pain,Cough,Cold
