Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
High fever,Cough with phlegm,Confusion,Chills,Fatigue,Pneumonia,Lion
Loss of appetite,Persistent cough,Blood in cough,Fatigue,Fever (evening),Tuberculosis,Lion
Mild bleeding,Dengue Hemorrhagic Fever,Muscle and joint pain,Fatigue,Sudden high fever,Dengue,Goat
High fever,Severe joint pain,Headache,Fatigue,Nausea,Chikungunya,Birds
Weight loss,Loss of appetite,Blood in cough,Fever (evening),Night sweats,Tuberculosis,Deer
Sneezing,Sore throat,Mild fatigue,Mild fever,Runny nose,Cold,Wolves
Dry Cough,Headache,Runny nose,Muscle or body aches,Vomiting,Flu,Hyaenas
Chest pain,Confusion,High fever,Shortness of breath,Cough with phlegm,Pneumonia,Monkey
Shortness of breath,Chills,Confusion,Cough with phlegm,Chest pain,Pneumonia,Hyaenas
Headache,High fever,Nausea,Rash,Muscle pain,Chikungunya,Goat
Severe joint pain,High fever,Muscle pain,Fatigue,Headache,Chikungunya,Pig
Coughing,Shortness of breath,Chest tightness,Wheezing,None,Asthma,Hyaenas
Sore throat,Shortness of breath,Muscle aches,Fever,Chills,COVID-19,Fowl
Diarrhea,Dry cough,Nausea,Fever,Shortness of breath,COVID-19,Elephant
Severe joint pain,Rash,Muscle pain,High fever,Nausea,Chikungunya,Rabbit
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Moos
Loss of appetite,Fever (evening),Blood in cough,Persistent cough,Fatigue,Tuberculosis,Cat
Wheezing,Mild fever,Persistent cough with mucus,Chest discomfort,Fatigue,Bronchitis,Dog
Headache,Prolonged high fever,Weakness,Fatigue,Diarrhea,Typhoid,Cat
Headache,Constipation,Rose-colored spots,Diarrhea,Prolonged high fever,Typhoid,Cow
Vomiting,Chills,Fever,Runny nose,Muscle or body aches,Flu,Sheep
Headache,Nausea,Muscle pain,Rash,High fever,Chikungunya,Hyaenas
Fever,Diarrhea,Nausea,Bloody diarrhea,Stomach cramps,Food Poisoning,Chicken
Shortness of breath,Congestion,Fatigue,Nausea,Loss of taste or smell,COVID-19,Monkey
Diarrhea,Chills,Fatigue,Fever,Congestion,COVID-19,Elephant
Fatigue,Rose-colored spots,Diarrhea,Constipation,Prolonged high fever,Typhoid,Wolves
Confusion,Chills,Fatigue,High fever,Cough with phlegm,Pneumonia,Dog
Fever,Chills,Muscle or body aches,Vomiting,Fatigue,Flu,Buffaloes
Swelling,Sneezing,Runny nose,Skin rash,Itchy eyes,Allergy,Elephant
Fatigue,Chills,Cough with phlegm,Confusion,High fever,Pneumonia,Deer
Rash,Muscle pain,Nausea,Severe joint pain,Headache,Chikungunya,Fox
Abdominal pain,Rose-colored spots,Constipation,Diarrhea,Prolonged high fever,Typhoid,Horse
Coughing,Shortness of breath,Chest tightness,Wheezing,None,Asthma,Birds
Nausea,Weakness,Vomiting,Bloody diarrhea,Stomach cramps,Food Poisoning,Fox
Nausea,Diarrhea,Loss of taste or smell,Shortness of breath,Chills,COVID-19,Snake
Stomach cramps,Fever,Weakness,Diarrhea,Bloody diarrhea,Food Poisoning,Fox
Sore throat,Congestion,Muscle aches,Fever,Fatigue,COVID-19,Sheep
Loss of appetite,Fever (evening),Fatigue,Weight loss,Night sweats,Tuberculosis,Snake
Shortness of breath,Wheezing,Chest tightness,Coughing,None,Asthma,Rabbit
Muscle pain,Headache,Rash,Fatigue,Nausea,Chikungunya,Birds
Nausea,Headache,Muscle pain,Rash,Severe joint pain,Chikungunya,Tiger
Muscle pain,Fatigue,Severe joint pain,Rash,High fever,Chikungunya,Birds
Sneezing,Runny nose,Mild cough,Mild fatigue,Sore throat,Cold,Cow
Stomach cramps,Bloody diarrhea,Diarrhea,Weakness,Dehydration,Food Poisoning,Sheep
Nausea,Rash,High fever,Headache,Fatigue,Chikungunya,Lion
Fever,Stomach cramps,Weakness,Dehydration,Nausea,Food Poisoning,Fowl
Sneezing,Swelling,Runny nose,Itchy eyes,Skin rash,Allergy,Wolves
Skin rash,Runny nose,Sneezing,Itchy eyes,Swelling,Allergy,Dog
Loss of appetite,Persistent cough,Night sweats,Fatigue,Weight loss,Tuberculosis,Fox
Nausea,Muscle pain,Anemia,Vomiting,High fever with chills,Malaria,Sheep
Severe headache,Pain behind the eyes,Sudden high fever,Dengue Hemorrhagic Fever,Mild bleeding,Dengue,Buffaloes
Headache,Muscle pain,Fatigue,Rash,Severe joint pain,Chikungunya,Wolves
High fever,Chills,Fatigue,Chest pain,Shortness of breath,Pneumonia,Birds
Fatigue,Sudden high fever,Rash,Muscle and joint pain,Dengue Hemorrhagic Fever,Dengue,Donkey
Sneezing,Mild fever,Mild fatigue,Mild cough,Runny nose,Cold,Birds
Sore throat,Fever,Diarrhea,Loss of taste or smell,Muscle aches,COVID-19,Chicken
Dehydration,Weakness,Nausea,Stomach cramps,Bloody diarrhea,Food Poisoning,Fowl
Nausea,Severe joint pain,Fatigue,Muscle pain,High fever,Chikungunya,Elephant
Diarrhea,Sore throat,Dry cough,Nausea,Fatigue,COVID-19,Tiger
Coughing,Chest tightness,Wheezing,Shortness of breath,None,Asthma,Elephant
Blood in cough,Loss of appetite,Fatigue,Weight loss,Fever (evening),Tuberculosis,Cattle
Nausea,Headache,Muscle pain,High fever,Fatigue,Chikungunya,Fox
Fever,Diarrhea,Weakness,Bloody diarrhea,Stomach cramps,Food Poisoning,Donkey
Fever,Bloody diarrhea,Weakness,Dehydration,Nausea,Food Poisoning,Duck
Headache,Muscle pain,Severe joint pain,High fever,Fatigue,Chikungunya,Cat
Weakness,Dehydration,Diarrhea,Fever,Bloody diarrhea,Food Poisoning,Lion
Fatigue,Loss of appetite,Weight loss,Fever (evening),Blood in cough,Tuberculosis,Birds
Rash,Severe headache,Mild bleeding,Muscle and joint pain,Dengue Hemorrhagic Fever,Dengue,Snake
Diarrhea,Muscle or body aches,Headache,Fever,Fatigue,Flu,Lion
Swelling,Runny nose,Sneezing,Itchy eyes,Skin rash,Allergy,Pig
High fever,Nausea,Fatigue,Severe joint pain,Headache,Chikungunya,Mammal
Rash,Severe joint pain,High fever,Headache,Muscle pain,Chikungunya,Monkey
Mild cough,Runny nose,Sore throat,Mild fatigue,Sneezing,Cold,Lion
Cough with phlegm,Shortness of breath,Chills,Fatigue,High fever,Pneumonia,Donkey
Skin rash,Swelling,Itchy eyes,Runny nose,Sneezing,Allergy,Lion
Chills,Confusion,Fatigue,High fever,Chest pain,Pneumonia,Mammal
Blood in cough,Loss of appetite,Fatigue,Persistent cough,Fever (evening),Tuberculosis,Tiger
Muscle and joint pain,Rash,Fatigue,Dengue Hemorrhagic Fever,Mild bleeding,Dengue,Moos
Rose-colored spots,Headache,Fatigue,Constipation,Prolonged high fever,Typhoid,Mammal
Prolonged high fever,Fatigue,Weakness,Rose-colored spots,Headache,Typhoid,Buffaloes
Fatigue,Sore throat,Diarrhea,Vomiting,Headache,Flu,Cattle
Fatigue,Nausea,Rash,Headache,Muscle pain,Chikungunya,Goat
Dry cough,Shortness of breath,Fatigue,Sore throat,Nausea,COVID-19,Snake
Headache,Rose-colored spots,Diarrhea,Abdominal pain,Fatigue,Typhoid,Elephant
Dehydration,Nausea,Weakness,Vomiting,Diarrhea,Food Poisoning,Buffaloes
Fever,Headache,Muscle or body aches,Runny nose,Chills,Flu,Sheep
Bloody diarrhea,Fever,Nausea,Vomiting,Dehydration,Food Poisoning,Pig
Wheezing,Shortness of breath,Coughing,Chest tightness,None,Asthma,Dog
Fatigue,Fever,Muscle aches,Diarrhea,Congestion,COVID-19,Duck
Chest discomfort,Fatigue,Wheezing,Persistent cough with mucus,Mild fever,Bronchitis,Fox
Weakness,Stomach cramps,Dehydration,Nausea,Bloody diarrhea,Food Poisoning,Chicken
Headache,Fatigue,Diarrhea,Chills,Muscle or body aches,Flu,Snake
Fatigue,Sudden high fever,Dengue Hemorrhagic Fever,Muscle and joint pain,Severe headache,Dengue,Monkey
Dry cough,Fatigue,Diarrhea,Loss of taste or smell,Shortness of breath,COVID-19,Dog
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Duck
Diarrhea,Nausea,Bloody diarrhea,Vomiting,Fever,Food Poisoning,Dog
Loss of taste or smell,Diarrhea,Muscle aches,Dry cough,Fatigue,COVID-19,Deer
Fatigue,Dry cough,Shortness of breath,Loss of taste or smell,Muscle aches,COVID-19,Deer
High fever with chills,Vomiting,Headache,Muscle pain,Anemia,Malaria,Fox
Severe headache,Rash,Sudden high fever,Dengue Hemorrhagic Fever,Mild bleeding,Dengue,Cow
Shortness of breath,High fever,Chest pain,Confusion,Fatigue,Pneumonia,Wolves
